title,num_citations,year,excerpt,url,url_pdf,indicator,key_words
Reduction of supply temperature in existing district heating: A review of strategies and implementations,38,2023,"… In the literature, several works exist on low temperature and ultra-low temperature DH. … The main problem in the transition towards low temperature DH concerns the existing systems, …",https://www.sciencedirect.com/science/article/pii/S0360544222022459,,0,"low-temperature, district energy"
Multiobjective optimization and analysis of low-temperature district heating systems coupled with distributed heat pumps,10,2023,… the real-time supply temperature for low-temperature district heating with booster heat pumps. The … This work can contribute to the deployment of efficient low temperature networks. …,https://www.sciencedirect.com/science/article/pii/S1359431123008475,,0,"low-temperature, district energy"
Assessment of the possibility of transferring Ukrainian district heating systems to low-temperature coolants,4,2023,"… Therefore, in order to increase the energy efficiency of Ukraine's district heating systems, it is … hightemperature district heating systems to the parameters of low-temperature systems. …",https://www.researchgate.net/profile/Olena-Savchenko-6/publication/371315698_ASSESSMENT_OF_THE_POSSIBILITY_OF_TRANSFERRING_UKRAINIAN_DISTRICT_HEATING_SYSTEMS_TO_LOW-TEMPERATURE_COOLANTS/links/647f1347d702370600d6cfa0/Assessment-of-the-possibility-of-transferring-Ukrainian-district-heating-systems-to-low-temperature-coolants.pdf,http://scholar.google.com/https://www.researchgate.net/profile/Olena-Savchenko-6/publication/371315698_ASSESSMENT_OF_THE_POSSIBILITY_OF_TRANSFERRING_UKRAINIAN_DISTRICT_HEATING_SYSTEMS_TO_LOW-TEMPERATURE_COOLANTS/links/647f1347d702370600d6cfa0/Assessment-of-the-possibility-of-transferring-Ukrainian-district-heating-systems-to-low-temperature-coolants.pdf,0,"low-temperature, district energy"
Novel solar-driven low temperature district heating and cooling system based on distributed half-effect absorption heat pumps with lithium bromide,12,2023,"… Low temperature district heating contributes to reducing heat loss of heating pipelines and utilizing renewable energy, such as low temperature geothermal energy and solar energy [17,…",https://www.sciencedirect.com/science/article/pii/S0360544223002785,,0,"low-temperature, district energy"
… digitalisation: A methodology using heat cost allocators and energy meters to secure low-temperature operations in existing buildings connected to district …,16,2023,"… District heating (DH) may integrate renewable energy sources such as geothermal heat, … of renewable energy sources by reducing operating temperatures. Low-temperature district …",https://www.sciencedirect.com/science/article/pii/S0360544222031589,,0,"low-temperature, district energy"
Simulation of low-temperature district heat networks from mine water energy,0,2023,"Mine water sourced district heat networks (DHN) are a pathway for reducing emissions of the heating sector. Here, an agent-based model for network dynamics is developed and …",https://www.sciencedirect.com/science/article/pii/B978044315274050233X,,0,"low-temperature, district energy"
Energy analysis of an ultra-low temperature district heating and cooling system with coaxial borehole heat exchangers,2,2023,… This work analyses an ultra-low temperature district heating and cooling (ULTDHC) network with coaxial borehole heat exchangers (CBHE) as the only energy control system. The study …,https://www.sciencedirect.com/science/article/pii/S0360544223012793,,0,"low-temperature, district energy"
Integration of booster heat pumps in ultra-low temperature district heating network: Prototype demonstration and refrigerant charge investigation,1,2023,… This study investigated the performance characteristics of an ultra-low temperature district … application of booster heat pump systems in ultra-low temperature district heating systems. …,https://www.sciencedirect.com/science/article/pii/S0378778823007466,,0,"low-temperature, district energy"
"Energy, exergy analysis and optimization of insulation thickness on buildings in a low-temperature district heating system",3,2023,… The novelty and literature contributions of this study mainly include the following points: • Energy and exergy analysis of buildings has been conducted in a low-temperature district …,https://dergipark.org.tr/en/pub/thermal/issue/75743/1243502,,0,"low-temperature, district energy"
"4th generation district heating (4GDH) in developing countries: Low-temperature networks, prosumers and demand-side measures",2,2023,"… are considered for low-temperature DH, no additional (service) pipes or mixing valves are assumed. Converting single-family houses to prosumers decreases energy consumption, …",https://www.sciencedirect.com/science/article/pii/S0378778823005285,,0,"low-temperature, district energy"
Simulation research of a dual-loop booster heat pump system on district heating under ultra-low temperature,6,2023,… ULTDH (ultra-low temperature district heating) system improves the shortcoming of significant loss of heating network in traditional district heating systems. This work proposes a dual-…,https://www.sciencedirect.com/science/article/pii/S1359431123005045,,0,"low-temperature, district energy"
Configuration optimization of solar-driven low temperature district heating and cooling system integrated with distributed water-lithium bromide absorption …,13,2023,"… energy for reducing fossil fuel consumption (A.Jamar et al.,2016; MA Sayegh et al., 2017). The sustainable low temperature district … solar thermal energy for higher energy efficiency and …",https://www.sciencedirect.com/science/article/pii/S0038092X23001202,,0,"low-temperature, district energy"
Novel effective room temperature-based predictive feedback control method for large-scale district heating substation,12,2023,"… In this study, the three rooms represent typical low-temperature residents for the heating station. 'Hex' represents plate heat exchangers, 'rad' represents radiators, and 'hot' represents …",https://www.sciencedirect.com/science/article/pii/S1359431122011711,,0,"low-temperature, district energy"
Demand side flexibility for a Heat Booster Substation with ultra low temperature district heating,3,2023,… Ultra-low temperature district heating (ULTDH) systems improve the heat distribution efficiency by reducing thermal network losses and provide an easier access to Renewable Energy …,https://www.sciencedirect.com/science/article/pii/S2352467723001935,,0,"low-temperature, district energy"
